epoch,train_loss,val_loss,train_r,val_r
1,0.861374,0.859483,0.006828,0.016344
2,0.835941,0.845975,0.030805,0.032915
3,0.824912,0.838371,0.046176,0.043177
4,0.815966,0.830467,0.056981,0.053680
5,0.818868,0.835105,0.052676,0.048001
6,0.815410,0.839949,0.058129,0.043350
7,0.805990,0.836573,0.070709,0.045845
8,0.798370,0.824382,0.080553,0.062328
9,0.805429,0.834670,0.070814,0.049621
10,0.805565,0.826852,0.071402,0.059289
11,0.789577,0.828213,0.092358,0.055896
12,0.786080,0.817697,0.096387,0.070283
13,0.775489,0.823567,0.110957,0.062085
14,0.774352,0.818998,0.112288,0.067952
15,0.774571,0.818197,0.112004,0.069387
16,0.773242,0.812620,0.113987,0.077248
17,0.764512,0.814850,0.126326,0.074117
18,0.764603,0.816913,0.126106,0.071380
19,0.752196,0.816970,0.143333,0.071224
20,0.760210,0.804689,0.132078,0.088335
21,0.754191,0.817576,0.140587,0.069991
22,0.757005,0.820990,0.136654,0.065386
23,0.754906,0.804808,0.139661,0.087825
24,0.756949,0.803087,0.136564,0.090296
25,0.766528,0.815810,0.123186,0.072581
26,0.756449,0.808567,0.137448,0.082934
27,0.748409,0.802570,0.148733,0.091402
28,0.746176,0.810000,0.151788,0.080803
29,0.736283,0.796244,0.165663,0.100053
30,0.731914,0.790867,0.171633,0.107528
31,0.732429,0.799735,0.170956,0.095041
32,0.729994,0.786834,0.174198,0.113295
33,0.724787,0.784815,0.181545,0.116081
34,0.728950,0.790509,0.175805,0.108082
35,0.724246,0.795032,0.182501,0.101801
36,0.727975,0.793120,0.177087,0.104309
37,0.728643,0.795767,0.176178,0.100710
38,0.727927,0.789087,0.177142,0.110403
39,0.723505,0.800385,0.183404,0.094221
40,0.720523,0.804784,0.187651,0.088029
41,0.717339,0.815222,0.192295,0.073255
42,0.720430,0.791490,0.187772,0.106813
43,0.714102,0.794606,0.196712,0.102264
